constituency,party_before,name,party_member,notes,screen_name,user_id
Grantham and Stamford,Independent[h],Gareth Davies,Conservative,"Previous incumbent, Nick Boles, did not stand",garethdavies_mp,
Birmingham Northfield,Labour,Gary Sambrook,Conservative,"Defeated incumbent, Richard Burden",GarySambrook89,
South West Devon,Conservative,Gary Streeter,Conservative,Seat held,garystreeterSWD,
Paisley and Renfrewshire North,Scottish National,Gavin Newlands,Scottish National,Seat held,GavNewlandsSNP,
East Yorkshire,Conservative,Greg Knight,Conservative,Seat held,GregKnight,15453062
The Cotswolds,Conservative,Geoffrey Clifton-Brown,Conservative,Seat held,none,none
Torridge and West Devon,Conservative,Geoffrey Cox,Conservative,Seat held,Geoffrey_Cox,
Camborne and Redruth,Conservative,George Eustice,Conservative,Seat held,none,none
Edinburgh East,Scottish National,Tommy Sheppard,Scottish National,Seat held,TommySheppard,280574046
Edinburgh North and Leith,Scottish National,Deidre Brock,Scottish National,Seat held,DeidreBrock,425774290
Knowsley,Labour,George Howarth,Labour,Seat held,none,none
Merthyr Tydfil and Rhymney,Labour,Gerald Jones,Labour,Seat held,geraldjoneslab,
Sheffield Brightside and Hillsborough,Labour,Gill Furniss,Labour,Seat held,gillfurnissmp,
Sittingbourne and Sheppey,Conservative,Gordon Henderson,Conservative,Seat held,none,none
Ellesmere Port and Neston,Labour,Justin Madders,Labour,Seat held,justinmadders,2999868527
Elmet and Rothwell,Conservative,Alec Shelbrooke,Conservative,Seat held,AlecShelbrooke,130092487
Altrincham and Sale West,Conservative,Graham Brady,Conservative,Seat held,SirGrahamBrady,
Blackley and Broughton,Labour,Graham Stringer,Labour,Seat held,none,none
Enfield Southgate,Labour,Bambos Charalambous,Labour,Seat held,Bambos_MP,102023574
Buckingham,Vacant[j],Greg Smith,Conservative,"Previous incumbent, John Bercow, did not stand",gregsmith_uk,
East Londonderry,DUP,Gregory Campbell,DUP,Seat held,none,none
Livingston,Scottish National,Hannah Bardell,Scottish National,Seat held,hannahb4livimp,
Dulwich and West Norwood,Labour,Helen Hayes,Labour,Seat held,helenhayes_,
Crawley,Conservative,Henry Smith,Conservative,Seat held,HenrySmithUK,
Exeter,Labour,Ben Bradshaw,Labour,Seat held,BenPBradshaw,24211594
Falkirk,Scottish National,John McNally,Scottish National,Seat held,JohnMcNallySNP,3037079585
Fareham,Conservative,Suella Braverman,Conservative,Seat held,SuellaBraverman,1722829178
Faversham and Mid Kent,Conservative,Helen Whately,Conservative,Seat held,Helen_Whately,130280613
Scunthorpe,Labour,Holly Mumby-Croft,Conservative,"Defeated incumbent, Nic Dakin",none,none
Fermanagh and South Tyrone,Sinn F̩in,Michelle Gildernew,Sinn F̩in,Seat held,gildernewm,127619354
Filton and Bradley Stoke,Conservative,Jack Lopresti,Conservative,Seat held,JackLopresti,1067829343
Arfon,Plaid Cymru,Hywel Williams,Plaid Cymru,Seat held,hywelplaidcymru,
Folkestone and Hythe,Conservative,Damian Collins,Conservative,Seat held,DamianCollins,14758838
Forest of Dean,Conservative,Mark Harper,Conservative,Seat held,Mark_J_Harper,429751008
Chingford and Woodford Green,Conservative,Iain Duncan Smith,Conservative,Seat held,MPIainDS,
"Ross, Skye and Lochaber",Scottish National,Ian Blackford,Scottish National,Seat held,Ianblackford_MP,
Gainsborough,Conservative,Edward Leigh,Conservative,Seat held,EdwardLeighMP,474180693
Garston and Halewood,Labour,Maria Eagle,Labour,Seat held,meaglemp,192935794
Liverpool West Derby,Labour Co-operative,Ian Byrne,Labour,"Previous incumbent, Stephen Twigg, did not stand",IanByrneMP,
Blyth Valley,Labour,Ian Levy,Conservative,"Previous incumbent, Ronnie Campbell, did not stand",none,none
Gillingham and Rainham,Conservative,Rehman Chishti,Conservative,Seat held,Rehman_Chishti,2863865170
Bridgwater and West Somerset,Conservative,Ian Liddell-Grainger,Conservative,Seat held,none,none
Glasgow East,Scottish National,David Linden,Scottish National,Seat held,DavidLinden,22505462
Glasgow North,Scottish National,Patrick Grady,Scottish National,Seat held,GradySNP,3000261466
Gateshead,Labour,Ian Mearns,Labour,Seat held,IanMearnsMP,
Edinburgh South,Labour,Ian Murray,Labour,Seat held,IanMurrayMP,
Glasgow South,Scottish National,Stewart McDonald,Scottish National,Seat held,StewartMcDonald,19608199
Glasgow South West,Scottish National,Chris Stephens,Scottish National,Seat held,ChrisStephens,244540519
